parameter_id,name,symbol,unit,mode,value,min,max,distribution,sampled_yes_no,derived_yes_no,source_type,validation_status,gate_dependencies,risk_dependencies,category,notes
P0143,cryo_baffle_capture_efficiency,eta_baffle,dimensionless,C,UNKNOWN,0,1,,NO,NO,UNKNOWN / REQUIRES_EXPERIMENT,UNKNOWN,Shield-CHEM,R-CHEM-1,MEASURED_REQUIRED,Baffle effective barrier between Mode B and Mode D
P0144,cryopanel_saturation_fraction,f_sat,dimensionless,C,UNKNOWN,0,1,,NO,NO,UNKNOWN / REQUIRES_EXPERIMENT,UNKNOWN,Shield-CHEM,R-CHEM-1,MEASURED_REQUIRED,Per-cycle cryopanel saturation
P0145,sample_can_rf_leakage_factor,alpha_RF,dimensionless,D,UNKNOWN,,,,NO,NO,UNKNOWN / REQUIRES_EXPERIMENT,UNKNOWN,Shield-RF,R-RF-1,MEASURED_REQUIRED,RF integrity factor; closed-vs-open ratio
P0146,magnetic_noise_rms,B_noise_rms,T,D,UNKNOWN,,,,NO,NO,UNKNOWN / REQUIRES_EXPERIMENT,UNKNOWN,Shield-MAG,R-MAG-1,MEASURED_REQUIRED,Magnetic noise at NV measurement bandwidth
P0147,NV_bias_field_error,delta_B_NV,T,D,UNKNOWN,,,,NO,NO,UNKNOWN / REQUIRES_EXPERIMENT,UNKNOWN,Shield-MAG,R-MAG-1,MEASURED_REQUIRED,Bias-field shift with/without shield
P0148,beam_dump_absorbed_power_W,P_BD,W,D,UNKNOWN,,,,NO,NO,UNKNOWN / REQUIRES_EXPERIMENT,UNKNOWN,"Shield-OPT, Shield-RAD",R-OPT-2,MEASURED_REQUIRED,Per-stage absorbed power
P0149,optical_line_of_sight_clearance_flag,LOS_OK,boolean,D,UNKNOWN,0,1,,NO,NO,UNKNOWN / REQUIRES_EXPERIMENT,UNKNOWN,Shield-OPT,R-OPT-1,MEASURED_REQUIRED,Direct LOS to 10 mK is absent
P0150,filter_thermalization_status,filter_thermal,status,D,UNKNOWN,,,,NO,NO,UNKNOWN / REQUIRES_EXPERIMENT,UNKNOWN,Shield-RF,R-RF-2,MEASURED_REQUIRED,Each filter body at assigned stage temperature
P0151,dirty_clean_shutter_cross_contamination_flag,xcontam_OK,boolean,C-to-D,UNKNOWN,0,1,,NO,NO,UNKNOWN / REQUIRES_EXPERIMENT,UNKNOWN,Shield-CHEM,R-CHEM-2,MEASURED_REQUIRED,Clean side remains within Mode D contamination spec
P0152,mp_k_ref,mp_k_ref,W/m/K,B,2000.0,1000.0,4000.0,lognormal,YES,NO,ASSUMED,CONDITIONAL,THERMAL_1D_STABILITY_CHECK;HOTSPOT_MARGIN_CHECK,,MULTIPHYSICS_FORECAST,pass-15 non-lumped MP param; factor 2x; MODEL_ONLY
P0153,mp_k_exponent,mp_k_exponent,,B,3.0,1.5,6.0,lognormal,YES,NO,ASSUMED,CONDITIONAL,THERMAL_1D_MESH_CONVERGENCE_CHECK,,MULTIPHYSICS_FORECAST,pass-15 non-lumped MP param; +-0.5; MODEL_ONLY
P0154,mp_k_plateau,mp_k_plateau,W/m/K,B,3000.0,1500.0,6000.0,lognormal,YES,NO,ASSUMED,CONDITIONAL,HOTSPOT_MARGIN_CHECK,,MULTIPHYSICS_FORECAST,pass-15 non-lumped MP param; factor 2x; MODEL_ONLY
P0155,mp_alpha_K,mp_alpha_K,W/m2/K4,B,50.0,25.0,100.0,lognormal,YES,NO,ASSUMED,CONDITIONAL,KAPITZA_BC_CHECK,,MULTIPHYSICS_FORECAST,pass-15 non-lumped MP param; factor 3x; MODEL_ONLY
P0156,mp_alpha_abs,mp_alpha_abs,1/m,B,1000000.0,500000.0,2000000.0,lognormal,YES,NO,ASSUMED,CONDITIONAL,OPTICAL_ABSORPTION_PROFILE_CHECK,,MULTIPHYSICS_FORECAST,pass-15 non-lumped MP param; factor 3x; MODEL_ONLY
P0157,mp_absorbed_fraction,mp_absorbed_fraction,,B,0.3,0.15,0.6,lognormal,YES,NO,ASSUMED,CONDITIONAL,OPTICAL_ABSORPTION_PROFILE_CHECK,,MULTIPHYSICS_FORECAST,pass-15 non-lumped MP param; range 0.1-0.5; MODEL_ONLY
P0158,mp_pulse_energy,mp_pulse_energy,J,B,1e-09,5e-10,2e-09,lognormal,YES,NO,DESIGN_SPECIFIED,CONDITIONAL,HOTSPOT_MARGIN_CHECK,,MULTIPHYSICS_FORECAST,pass-15 non-lumped MP param; factor 2x; MODEL_ONLY
P0159,mp_pulse_duration,mp_pulse_duration,s,B,2.5e-13,1.25e-13,5e-13,lognormal,YES,NO,DESIGN_SPECIFIED,CONDITIONAL,OPTICAL_ABSORPTION_PROFILE_CHECK,,MULTIPHYSICS_FORECAST,pass-15 non-lumped MP param; +-30%; MODEL_ONLY
P0160,mp_rep_rate,mp_rep_rate,Hz,B,1000000.0,500000.0,2000000.0,lognormal,YES,NO,DESIGN_SPECIFIED,CONDITIONAL,POST_PULSE_DRIFT_CHECK,,MULTIPHYSICS_FORECAST,pass-15 non-lumped MP param; +-20%; MODEL_ONLY
P0161,mp_spot_radius,mp_spot_radius,m,B,5e-06,2.5e-06,1e-05,lognormal,YES,NO,DESIGN_SPECIFIED,CONDITIONAL,HOTSPOT_MARGIN_CHECK,,MULTIPHYSICS_FORECAST,pass-15 non-lumped MP param; +-20%; MODEL_ONLY
P0162,mp_thermal_radius,mp_thermal_radius,m,B,4e-05,2e-05,8e-05,lognormal,YES,NO,ASSUMED,CONDITIONAL,THERMAL_2D_MESH_CONVERGENCE_CHECK,,MULTIPHYSICS_FORECAST,pass-15 non-lumped MP param; model domain; MODEL_ONLY
P0163,mp_thermal_depth,mp_thermal_depth,m,B,4e-05,2e-05,8e-05,lognormal,YES,NO,ASSUMED,CONDITIONAL,THERMAL_1D_MESH_CONVERGENCE_CHECK,,MULTIPHYSICS_FORECAST,pass-15 non-lumped MP param; model domain; MODEL_ONLY
P0164,mp_front_velocity,mp_front_velocity,m/s,B,0.0,,,lognormal,YES,NO,ASSUMED,CONDITIONAL,MOVING_BOUNDARY_MODEL_CHECK,,MULTIPHYSICS_FORECAST,pass-15 non-lumped MP param; Stefan-ready; MODEL_ONLY
P0165,mp_gas_D_CH4,mp_gas_D_CH4,m2/s,BC,0.02,0.01,0.04,lognormal,YES,NO,ASSUMED,CONDITIONAL,GAS_TRANSPORT_STABILITY_CHECK,,MULTIPHYSICS_FORECAST,pass-15 non-lumped MP param; factor 3x; MODEL_ONLY
P0166,mp_gas_v_eff,mp_gas_v_eff,m/s,BC,0.05,0.025,0.1,lognormal,YES,NO,ASSUMED,CONDITIONAL,GAS_TRANSPORT_STABILITY_CHECK,,MULTIPHYSICS_FORECAST,pass-15 non-lumped MP param; factor 3x; MODEL_ONLY
P0167,mp_cryobaffle_capture_CH4,mp_cryobaffle_capture_CH4,,C,0.9,0.45,1.8,lognormal,YES,NO,ASSUMED,CONDITIONAL,CRYOBAFFLE_CAPTURE_CHECK,,MULTIPHYSICS_FORECAST,pass-15 non-lumped MP param; +-0.1; MODEL_ONLY
P0168,mp_pump_sink,mp_pump_sink,1/s,C,50.0,25.0,100.0,lognormal,YES,NO,ASSUMED,CONDITIONAL,GAS_TRANSPORT_STABILITY_CHECK,,MULTIPHYSICS_FORECAST,pass-15 non-lumped MP param; factor 2x; MODEL_ONLY
P0169,mp_stick_CH4,mp_stick_CH4,,BC,0.5,0.25,1.0,lognormal,YES,NO,ASSUMED,CONDITIONAL,SURFACE_COVERAGE_DECAY_CHECK,,MULTIPHYSICS_FORECAST,pass-15 non-lumped MP param; factor 2x; MODEL_ONLY
P0170,mp_Edes_CH4,mp_Edes_CH4,eV,BCD,0.16,0.08,0.32,lognormal,YES,NO,ASSUMED,CONDITIONAL,SURFACE_COVERAGE_DECAY_CHECK,,MULTIPHYSICS_FORECAST,pass-15 non-lumped MP param; +-0.05eV; MODEL_ONLY
P0171,mp_Edes_He4,mp_Edes_He4,eV,D,0.012,0.006,0.024,lognormal,YES,NO,ASSUMED,CONDITIONAL,RESIDUAL_SPECIES_MODE_D_CHECK,,MULTIPHYSICS_FORECAST,pass-15 non-lumped MP param; +-0.005eV; MODEL_ONLY
P0172,mp_mw_atten_total,mp_mw_atten_total,dB,D,26.0,13.0,52.0,lognormal,YES,NO,DESIGN_SPECIFIED,CONDITIONAL,MICROWAVE_HEATING_PROFILE_CHECK,,MULTIPHYSICS_FORECAST,pass-15 non-lumped MP param; +-3dB; MODEL_ONLY
P0173,mp_rad_epsilon_eff,mp_rad_epsilon_eff,,D,0.05,0.025,0.1,lognormal,YES,NO,ASSUMED,CONDITIONAL,RADIATION_VIEWFACTOR_CHECK,,MULTIPHYSICS_FORECAST,pass-15 non-lumped MP param; factor 2x; MODEL_ONLY
P0174,mp_rad_view_factor,mp_rad_view_factor,,D,0.1,0.05,0.2,lognormal,YES,NO,ASSUMED,CONDITIONAL,RADIATION_VIEWFACTOR_CHECK,,MULTIPHYSICS_FORECAST,pass-15 non-lumped MP param; factor 2x; MODEL_ONLY
P0175,mp_vib_Q,mp_vib_Q,,CD,20.0,10.0,40.0,lognormal,YES,NO,ASSUMED,CONDITIONAL,VIBRATION_TRANSFER_CHECK,,MULTIPHYSICS_FORECAST,pass-15 non-lumped MP param; factor 2x; MODEL_ONLY
